ticker,01.04.16,01.05.16,01.06.16,01.07.16,01.08.16,01.11.16,01.12.16,01.13.16,01.14.16,01.15.16,01.19.16,01.20.16,01.21.16,01.22.16,01.25.16,01.26.16,01.27.16,01.28.16,01.29.16,02.01.16,02.02.16,02.03.16,02.04.16,02.05.16,02.08.16,02.09.16,02.10.16,02.11.16,02.12.16,02.16.16,02.17.16,02.18.16,02.19.16,02.22.16,02.23.16,02.24.16,02.25.16,02.26.16,02.29.16,03.01.16,03.02.16,03.03.16,03.04.16,03.07.16,03.08.16,03.09.16,03.10.16,03.11.16,03.14.16,03.15.16,03.16.16,03.17.16,03.18.16,03.21.16,03.22.16,03.23.16,03.24.16,03.28.16,03.29.16,03.30.16,03.31.16,04.01.16,04.04.16,04.05.16,04.06.16,04.07.16,04.08.16,04.11.16,04.12.16,04.13.16,04.14.16,04.15.16,04.18.16,04.19.16,04.20.16,04.21.16,04.22.16,04.25.16,04.26.16,04.27.16,04.28.16,04.29.16,05.02.16,05.03.16,05.04.16,05.05.16,05.06.16,05.09.16,05.10.16,05.11.16,05.12.16,05.13.16,05.16.16,05.17.16,05.18.16,05.19.16,05.20.16,05.23.16,05.24.16,05.25.16,05.26.16,05.27.16,05.31.16,06.01.16,06.02.16,06.03.16,06.06.16,06.07.16,06.08.16,06.09.16,06.10.16,06.13.16,06.14.16,06.15.16,06.16.16,06.17.16,06.20.16,06.21.16,06.22.16,06.23.16,06.24.16,06.27.16,06.28.16,06.29.16,06.30.16,07.01.16,07.05.16,07.06.16,07.07.16,07.08.16,07.11.16,07.12.16,07.13.16,07.14.16,07.15.16,07.18.16,07.19.16,07.20.16,07.21.16,07.22.16,07.25.16,07.26.16,07.27.16,07.28.16,07.29.16,08.01.16,08.02.16,08.03.16,08.04.16,08.05.16,08.08.16,08.09.16,08.10.16,08.11.16,08.12.16,08.15.16,08.16.16,08.17.16,08.18.16,08.19.16,08.22.16,08.23.16,08.24.16,08.25.16,08.26.16,08.29.16,08.30.16,08.31.16,09.01.16,09.02.16,09.06.16,09.07.16,09.08.16,09.09.16,09.12.16,09.13.16,09.14.16,09.15.16,09.16.16,09.19.16,09.20.16,09.21.16,09.22.16,09.23.16,09.26.16,09.27.16,09.28.16,09.29.16,09.30.16,10.03.16,10.04.16,10.05.16
AAPL,103.58618,100.99038,99.01403,94.835186,95.336649,96.880363,98.286422,95.75945,97.853786,95.503801,95.041677,95.169497,94.687703,99.721977,97.775131,98.315919,91.855917,92.514698,95.710285,94.815524,92.898175,94.736862,95.498081,92.947509,93.926221,93.906445,93.194657,92.631159,92.917852,95.537625,97.000746,95.161963,94.944471,95.774885,93.609872,95.003784,95.656259,95.80455,95.587058,99.383251,99.600743,100.342188,101.834965,100.70797,99.877548,99.966525,100.01595,101.09352,101.350549,103.387056,104.7612,104.593141,104.711767,104.701886,105.502644,104.91937,104.464619,103.990098,106.451693,108.310245,107.746747,108.73534,109.852455,108.557393,109.694276,107.301883,107.420517,107.776404,109.180211,110.761959,110.821272,108.596938,106.253977,105.690479,105.907963,104.7612,104.474507,103.881352,103.159676,96.704165,93.748274,92.670704,92.571846,94.09428,93.115575,92.737619,92.220424,92.290046,92.916649,92.011556,89.853242,90.032273,93.37417,92.986272,94.050506,93.692445,94.706954,95.910433,97.372514,99.083248,99.868992,99.809311,99.321953,97.929494,97.193484,97.392403,98.098577,98.496423,98.406912,99.113085,98.297504,96.815526,96.934883,96.616607,97.024402,94.816362,94.587598,95.393239,95.035178,95.58221,92.89676,91.544087,93.085731,93.891372,95.084904,95.373342,94.47819,95.015281,95.423076,96.159086,96.457473,96.895097,96.348065,98.257718,98.24777,99.292116,99.331901,99.421412,98.894269,98.128421,96.815526,96.149138,102.3953,103.77781,103.648513,105.478603,103.917063,105.220002,105.870003,107.480003,108.370003,108.809998,108.0,107.93,108.18,109.480003,109.379997,109.220001,109.080002,109.360001,108.510002,108.849998,108.029999,107.57,106.940002,106.82,106.0,106.099998,106.730003,107.730003,107.699997,108.360001,105.519997,103.129997,105.440002,107.949997,111.769997,115.57,114.919998,113.580002,113.57,113.550003,114.620003,112.709999,112.879997,113.089996,113.949997,112.18,113.050003,112.519997,113.0,113.050003
GOOGL,759.440002,761.530029,759.330017,741.0,730.909973,733.070007,745.340027,719.570007,731.390015,710.48999,719.080017,718.559998,726.669983,745.460022,733.619995,733.789978,717.580017,748.299988,761.349976,770.77002,780.909973,749.380005,730.030029,703.76001,704.159973,701.02002,706.849976,706.359985,706.890015,717.640015,731.969971,717.51001,722.109985,729.049988,717.289978,720.900024,729.119995,724.859985,717.219971,742.169983,739.47998,731.590027,730.219971,712.799988,713.530029,725.409973,732.169983,744.869995,750.23999,750.570007,757.359985,758.47998,755.409973,762.159973,760.049988,757.559998,754.840027,753.280029,765.890015,768.340027,762.900024,769.669983,765.119995,758.570007,768.070007,760.119995,759.469971,757.539978,764.320007,771.909973,775.390015,780.0,787.679993,776.25,774.919983,780.0,737.77002,742.210022,725.369995,721.460022,705.059998,707.880005,714.409973,708.440002,711.369995,714.710022,725.179993,729.130005,739.380005,730.549988,728.070007,724.830017,730.299988,720.190002,721.780029,715.309998,721.710022,717.25,733.030029,738.099976,736.929993,747.599976,748.849976,748.460022,744.27002,735.859985,730.059998,731.090027,742.929993,742.52002,733.190002,731.880005,733.25,732.190002,724.25,704.25,706.130005,708.880005,710.469971,714.869995,685.200012,681.140015,691.26001,695.190002,703.530029,710.25,704.890015,708.969971,707.26001,717.780029,727.200012,732.51001,729.47998,735.799988,735.630005,753.200012,753.409973,757.080017,754.409973,759.280029,757.52002,757.650024,761.969971,765.840027,791.340027,800.940002,800.119995,798.919983,797.25,806.929993,805.22998,807.47998,808.48999,808.200012,807.049988,805.960022,801.190002,805.419983,802.75,799.650024,796.950012,796.590027,793.599976,791.299988,793.219971,795.820007,791.919983,789.849976,791.400024,796.869995,808.02002,807.98999,802.840027,788.47998,798.820007,788.719971,790.460022,801.22998,797.969971,795.390015,799.780029,805.030029,815.950012,814.960022,802.650024,810.72998,810.059998,802.640015,804.059998,800.380005,802.789978,801.22998
IBM,132.147757,132.050563,131.389573,129.144181,127.948586,129.503829,129.183056,127.501445,129.192786,126.393329,124.527029,118.451829,119.472465,119.073929,118.665677,119.161408,117.576998,118.801761,121.299883,121.338765,119.501625,121.231841,124.079895,124.97417,124.689397,121.831888,118.021882,115.72409,118.856547,120.525878,123.825267,130.060717,130.679357,131.356913,130.011616,130.40441,132.07374,129.648295,128.666335,131.94608,133.841273,135.314214,135.314214,137.621813,136.561309,137.877133,137.6611,139.791953,140.204375,140.381136,142.178111,144.387523,144.436624,145.948852,145.428414,142.777108,145.281111,145.72299,146.636222,145.73282,148.717974,149.76868,149.3268,147.294134,147.313777,145.575702,146.655865,146.557663,146.930813,148.501942,148.433212,148.983108,149.778494,141.402369,143.474307,146.606764,145.821193,146.125598,146.390732,147.755657,144.416996,143.307375,142.649463,141.530028,141.647859,143.827813,146.028796,146.07837,148.685855,147.674585,147.565526,146.455122,148.180228,146.732723,146.07837,143.689003,145.989145,145.513259,147.040066,150.391129,151.134707,151.531276,152.423578,151.2041,152.185628,151.580851,151.422217,152.017085,152.681347,152.106311,151.065299,149.984636,149.766519,149.389768,149.766519,150.688563,152.294687,152.730922,151.610593,154.019793,145.334793,142.271255,144.452414,147.188791,150.480355,151.045481,150.381205,151.065299,151.29334,153.137414,153.99996,155.695309,156.666929,158.907572,158.411853,158.49117,158.213569,159.978326,159.076114,160.682253,161.257273,160.731813,160.444303,159.988235,159.244657,160.067552,159.205006,159.294232,160.166701,162.100001,162.039993,161.770004,162.080002,163.529999,161.949997,161.880005,160.699997,160.440002,161.360001,160.039993,160.0,160.259995,159.050003,158.630005,158.320007,159.720001,159.399994,158.880005,159.539993,159.550003,160.350006,161.639999,159.0,155.690002,158.289993,155.809998,154.050003,155.660004,153.839996,154.869995,154.449997,155.529999,156.110001,154.979996,153.979996,156.770004,158.289993,158.110001,158.850006,157.610001,156.460007,157.080002
INTC,33.153587,32.997525,32.26598,31.056492,30.734613,31.27108,31.875822,31.124769,31.934347,29.027676,29.066691,28.86186,28.930137,29.193493,28.871614,29.203247,29.076445,29.232508,30.256671,30.061592,29.066691,28.869896,29.293007,28.574704,28.358228,28.348388,27.777681,27.767841,28.181111,28.31887,28.997813,28.948615,28.24999,28.879736,28.338548,28.7223,29.145411,29.322525,29.115891,29.883394,30.05067,30.090028,30.139226,30.444261,30.070348,30.375382,30.749293,31.251122,30.926409,31.142884,31.182244,31.467596,32.156381,31.821829,31.802149,31.487276,31.369198,31.388878,31.861189,32.185899,31.831667,31.930067,31.487276,31.388878,31.565996,31.044486,31.123204,31.162564,31.34952,31.615194,31.29048,30.955927,31.142884,31.093686,31.487276,31.457756,31.133044,30.887049,30.896889,31.241282000000002,30.611537,29.794836,30.119548,29.873554,29.625435,29.675058,29.814006,29.57581,29.913253,29.833854,29.536112,29.684983,30.161372,29.754456,29.764381,29.407089,29.923178,30.002576,30.826331,31.153849,31.253097,31.332495,31.352345,31.421818,31.521066,31.38212,31.441668,31.640162,31.650087,31.699712,31.79896,31.927979,31.898206,31.372195,31.451593,31.521066,31.927979,32.076852,32.047079,32.741814,31.312645,30.488889,30.955354,31.689787,32.553241,32.503618,32.434145,32.721964,32.950233,33.744214,34.121356,34.677141,34.746614,34.935187,34.806164,34.786314,34.885564,35.421499,34.012183,34.399249,34.429022,34.826014,34.567972,34.508422,34.597745,34.587818,34.300002,34.25,34.580002,34.98,35.040001,34.919998,34.529999,34.68,34.57,34.91,35.209999,35.02,34.970001,35.240002,35.360001,35.400002,35.150002,35.09,35.259998,35.549999,35.700001,35.889999,36.02,36.080002,36.57,36.459999,36.439999,35.439999,36.080002,35.610001,35.619999,36.560001,37.669998,37.16,37.139999,37.450001,37.549999,37.189999,36.650002,37.18,37.439999,37.32,37.75,37.66,37.540001,37.990002
